sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,mean_line_tortuosity,couplet_tortuosity,avg_metrical_deviation,num_rhyme_pairs,num_lines
74,3.0653270317846193,3.020607025340216,-0.044720006444403104,-1.4588983811742697,8.188526,8.293021,2.142857142857143,3,14
75,3.0629715482928974,2.9976543802477407,-0.06531716804515675,-2.132477139121985,8.216836,8.766251,3.0,5,14
76,3.519217204605554,3.4549357476271534,-0.06428145697840071,-1.8265839600430573,8.757485,7.473303,2.4285714285714284,6,14
77,3.818830227785426,3.729043695221728,-0.08978653256369773,-2.3511527668975676,6.9856625,7.5107827,2.9285714285714284,5,14
78,2.63238340379389,2.602323511508457,-0.03005989228543271,-1.1419268273044598,8.045277,10.917685,2.142857142857143,4,14
79,3.158951031107695,3.110572898245138,-0.04837813286255699,-1.5314619437324124,7.38844,6.987743,2.2142857142857144,4,14
80,2.847645729833158,2.817259225624827,-0.03038650420833111,-1.0670745974469038,9.102036,7.838559,3.642857142857143,4,14
81,3.0945220456244655,3.0219515413583498,-0.07257050426611578,-2.345128042268358,7.684247,8.480548,2.2142857142857144,5,14
82,3.5151824224905033,3.4475869080759716,-0.06759551441453171,-1.9229589332846162,8.419125,7.12781,2.857142857142857,4,14
83,3.496511010318182,3.4082491162381787,-0.08826189408000307,-2.5242847461238584,8.297994,8.0559435,2.0,3,14
84,3.094302800173624,3.047162480729754,-0.047140319443870204,-1.5234552817915918,8.590394,7.5123196,3.2857142857142856,4,14
85,3.187131491282289,3.1386954227655943,-0.048436068516694686,-1.5197386317188704,8.16721,7.7196674,1.8571428571428572,5,14
86,3.2665190092314025,3.2147901539356902,-0.05172885529571225,-1.5836079676721004,8.323772,7.3552227,3.2142857142857144,3,14
87,2.7806566030253212,2.744239956803482,-0.036416646221839155,-1.3096419810421134,7.620519,8.433192,3.0,7,14
88,4.0811883782231435,3.976617541609131,-0.10457083661401256,-2.562264392694863,8.377385,7.3660097,2.5,5,14
89,4.466693961498048,4.271949427785711,-0.19474453371233658,-4.3599256047312185,8.059606,6.9467144,2.142857142857143,5,14
90,3.0882650475744224,3.046112652610922,-0.04215239496350032,-1.3649215437841886,9.016847,6.8671937,2.357142857142857,2,14
91,2.6580169381084207,2.627336546724639,-0.030680391383781647,-1.1542586860118118,7.6916003,7.428371,2.0714285714285716,4,14
92,3.4785557982271826,3.4132892005615645,-0.06526659766561815,-1.8762555914405838,8.035791,8.231951,2.4285714285714284,4,14
93,3.552150560392092,3.4964883998504206,-0.05566216054167139,-1.5669989094022891,7.296872,6.9878464,2.2142857142857144,3,14
94,2.9152427896852773,2.8866206607183997,-0.028622128966877547,-0.9818094420179502,7.9925685,9.001902,2.642857142857143,4,14
95,2.6896797283817118,2.646863492288437,-0.042816236093274895,-1.5918711674655763,8.316911,8.836494,2.7857142857142856,3,14
96,3.4827978604118033,3.417573420371692,-0.06522444004011119,-1.8727598515407122,7.741038,7.3240433,2.2857142857142856,6,14
97,2.9834129032483183,2.9157285504055155,-0.06768435284280283,-2.2686887480143496,7.5729265,8.630015,2.5,3,14
98,3.1448045570769785,3.0809981646119287,-0.06380639246504982,-2.028946197036688,8.757734,9.758071,2.2857142857142856,3,14
99,3.3345085601734237,3.262439908587391,-0.07206865158603248,-2.161297543116347,7.799468,8.0246315,3.4,3,15
100,4.309112866898077,4.181611416207849,-0.1275014506902279,-2.958879347757954,8.001855,8.736826,3.2142857142857144,6,14
101,2.9804091488900686,2.918843814422005,-0.06156533446806378,-2.0656672085103236,7.626673,8.444174,2.5714285714285716,1,14
102,3.236413660702104,3.1623187067442897,-0.07409495395781418,-2.289415437139766,7.8473606,8.033062,1.2142857142857142,4,14
103,2.5228532940474544,2.4826178476457184,-0.04023544640173604,-1.5948389268876455,8.459803,9.147055,1.9285714285714286,6,14
104,3.258238967195866,3.1806160350875943,-0.07762293210827176,-2.382358473082663,7.785424,7.7512555,2.7857142857142856,5,14
105,3.0606063521359332,2.994750362844578,-0.06585598929135505,-2.151730138225569,8.043959,7.5358467,2.9285714285714284,4,14
106,2.903749997759979,2.846965955056483,-0.056784042703495796,-1.9555417218183502,8.484244,9.827205,1.9285714285714286,3,14
107,3.0333521656309,2.963258675041281,-0.07009349058961911,-2.3107600688046235,8.278539,9.644183,3.142857142857143,5,14
108,3.6698152177903443,3.5600688305461383,-0.10974638724420593,-2.9905153456278386,7.6772327,7.036845,2.642857142857143,5,14
109,3.1084335628604927,3.0564916792023125,-0.0519418836581802,-1.670998675306459,7.8384,8.411241,2.5714285714285716,6,14
110,2.5632983312025877,2.5305847149760523,-0.03271361622653535,-1.2762313238501406,8.067412,7.3472342,3.7142857142857144,3,14
111,2.7116447207077803,2.6632327264557345,-0.04841199425204579,-1.7853369168291902,8.210616,8.174089,3.9285714285714284,5,14
112,2.6706799104082433,2.6275095026339437,-0.04317040777429959,-1.6164575771905407,8.401133,9.834283,2.357142857142857,4,14
113,2.8257446323929996,2.7696937191636843,-0.056050913229315213,-1.9835802778062133,7.8892465,10.254735,3.0714285714285716,6,14
114,3.7285496150929105,3.645641145749644,-0.08290846934326668,-2.2236118035725996,8.188688,7.33938,3.0714285714285716,3,14
115,3.1046189133850306,3.058761736642333,-0.045857176742697625,-1.4770629833179296,8.313646,8.620669,3.7142857142857144,3,14
